attackLabel,throughputOut,throughputIn,packetsPerSecSent,packetsPerSecRecv,latency,packetLoss,jitter,bytesPerPacketOut,bytesPerPacketIn,bandwidthUtilOut,bandwidthUtilIn,outRstsRate,inSegsRate,outSegsRate,icmpInRate,routingTableSize,topAttackerRepeat,uniqueDestinationPorts,timeWaitConnections
normal,0.0267,0.0325,41,29,0.083,0,0.046,82.34,141.72,0.0,0.0,0.0,0.22,0.36,5.1,7,3,3,3
normal,0.0401,0.0315,37,49,0.052,0,0.013,136.73,81.08,0.0,0.0,0.0,0.22,0.35,5.13,7,3,3,3
normal,0.0208,0.0135,18,24,0.032,0,0.006,144.5,70.42,0.0,0.0,0.0,0.22,0.35,4.9,7,3,3,3
normal,0.0171,0.0212,27,19,0.082,0,0.084,79.52,140.26,0.0,0.0,0.0,0.28,0.45,0.68,6,4,4,4
normal,0.0348,0.023,31,41,0.025,0,0.003,141.55,70.78,0.0,0.0,0.0,0.22,0.4,4.84,7,3,3,3
normal,0.0391,0.0262,35,49,0.039,0,0.01,140.34,67.16,0.0,0.0,0.0,0.26,0.41,0.77,6,4,4,4
normal,0.0452,0.0299,39,55,0.083,0,0.043,145.51,68.31,0.0,0.0,0.0,0.29,0.46,0.63,6,4,4,4
normal,0.0237,0.0145,19,27,0.061,0,0.031,156.74,67.78,0.0,0.0,0.0,0.29,0.46,0.7,6,4,4,4
normal,0.0354,0.0443,55,41,0.046,0,0.012,80.65,135.49,0.0,0.0,0.0,0.22,0.36,4.98,7,3,3,3
normal,0.0385,0.0256,33,45,0.032,0,0.008,146.3,71.42,0.0,0.0,0.0,0.21,0.34,5.14,7,3,3,3
normal,0.042,0.033,35,49,0.108,0,0.055,151.37,84.98,0.0,0.0,0.0,0.22,0.35,5.02,7,3,3,3
normal,0.0192,0.0122,16,22,0.029,0,0.004,150.31,69.18,0.0,0.0,0.0,0.21,0.34,4.74,7,3,3,3
normal,0.0515,0.0334,45,63,0.048,0,0.008,143.73,66.65,0.01,0.0,0.0,0.26,0.41,0.77,6,4,4,4
normal,0.0025,0.0017,3,3,0.046,0,0.01,104.67,70.0,0.0,0.0,0.0,0.25,0.37,4.94,7,3,3,3
normal,0.0152,0.0162,26,20,0.072,0,0.02,73.46,101.8,0.0,0.0,0.0,0.29,0.46,0.87,6,4,4,4
normal,0.0193,0.0238,28,20,0.059,0,0.025,86.5,149.5,0.0,0.0,0.0,0.29,0.46,0.87,6,4,4,4
normal,0.0125,0.0088,13,15,0.035,0,0.007,121.0,73.73,0.0,0.0,0.0,0.21,0.33,4.9,7,3,3,3
normal,0.0222,0.0147,20,26,0.028,0,0.01,139.8,71.46,0.0,0.0,0.0,0.22,0.36,5.16,7,3,3,3
normal,0.0296,0.0187,29,35,0.025,0,0.005,128.62,67.26,0.0,0.0,0.0,0.22,0.35,5.2,7,3,3,3
normal,0.0208,0.0296,34,25,0.041,0,0.007,76.5,148.32,0.0,0.0,0.0,0.29,0.46,0.58,6,4,4,4
normal,0.0363,0.0221,31,41,0.059,0,0.023,146.87,67.51,0.0,0.0,0.0,0.29,0.46,0.76,6,4,4,4
normal,0.0272,0.0179,28,32,0.064,0,0.023,122.71,70.38,0.0,0.0,0.0,0.22,0.36,5.19,7,3,3,3
normal,0.0123,0.0077,10,14,0.031,0,0.01,153.7,68.71,0.0,0.0,0.0,0.22,0.36,5.02,7,3,3,3
normal,0.0355,0.0228,29,41,0.042,0,0.007,153.45,69.66,0.0,0.0,0.0,0.26,0.42,0.78,6,4,4,4
normal,0.0469,0.0282,39,53,0.081,0,0.034,150.87,66.79,0.0,0.0,0.0,0.29,0.46,0.87,6,4,4,4
normal,0.0288,0.019,26,34,0.049,0,0.007,139.88,70.47,0.0,0.0,0.0,0.29,0.46,0.64,6,4,4,4
normal,0.0148,0.0112,23,19,0.05,0,0.006,80.17,73.37,0.0,0.0,0.0,0.22,0.36,5.13,7,3,3,3
normal,0.0369,0.0238,34,46,0.04,0,0.008,136.41,65.02,0.0,0.0,0.0,0.29,0.46,0.81,6,4,4,4
