attackLabel,throughputOut,throughputIn,packetsPerSecSent,packetsPerSecRecv,latency,jitter,bytesPerPacketOut,bytesPerPacketIn,bandwidthUtilOut,bandwidthUtilIn,currEstab,passiveOpensRate,activeOpensRate,attemptFailsRate,outRstsRate,inSegsRate,outSegsRate,retransRate,icmpInRate,inOutSegRatio,udpInRate,udpOutRate,udpNoPortRate,udpInOutRatio,halfOpenConnections,uniqueSourceIPs,topAttackerRepeat,uniqueDestinationPorts,sensitivePortsHit,avgConnectionDuration,longConnectionRatio
normal,0.0016,0.0016,2,2,0.049,0.009,98.0,98.0,0.0,0.0,0,0.41,0.08,0.0,0.0,3.7,3.13,0.0,0.99,1.184,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0244,0.0193,30,44,0.059,0.009,157.43,85.23,0.0,0.0,0,6.84,0.08,0.0,0.0,41.47,28.03,0.0,2.47,1.479,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0037,0.0043,6,8,0.069,0.019,77.0,67.12,0.0,0.0,0,0.33,0.08,0.0,0.0,3.04,2.63,0.0,1.15,1.156,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0023,0.0023,3,3,0.079,0.053,98.0,98.0,0.0,0.0,0,0.33,0.08,0.0,0.0,3.04,2.63,0.0,0.99,1.156,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0008,0.0008,1,1,0.089,0.099,98.0,98.0,0.0,0.0,0,0.24,0.08,0.0,0.0,2.3,2.06,0.0,1.03,1.115,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0,0.0,0,0,0.066,0.029,0.0,0.0,0.0,0.0,0,0.49,0.08,0.0,0.0,4.37,3.63,0.0,1.15,1.205,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0081,0.0088,11,15,0.045,0.006,91.82,73.6,0.0,0.0,0,0.43,0.07,0.0,0.0,2.95,2.3,0.0,0.93,1.281,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0008,0.0008,1,1,0.041,0.007,98.0,98.0,0.0,0.0,0,0.58,0.07,0.0,0.0,3.82,2.88,0.0,1.15,1.325,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.005,0.004,6,6,0.094,0.068,104.33,83.67,0.0,0.0,0,0.0,0.08,0.0,0.0,0.41,0.65,0.0,1.96,0.625,6.54,6.54,0.0,1,0,0,5,5,0,0.0,0.0
normal,0.0382,0.0291,30,44,0.06,0.018,160.23,83.27,0.0,0.0,0,6.51,0.08,0.0,0.0,39.5,26.72,0.0,2.31,1.478,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0077,0.0057,9,9,0.109,0.062,106.67,79.11,0.0,0.0,0,0.0,0.08,0.0,0.0,0.41,0.66,0.0,1.89,0.625,5.59,5.59,0.0,1,0,0,5,5,0,0.0,0.0
normal,0.0,0.0,0,0,0.079,0.043,0.0,0.0,0.0,0.0,0,0.66,0.08,0.0,0.0,4.36,3.29,0.0,1.4,1.325,0.0,0.0,0.0,0,0,0,5,5,0,0.0,0.0
normal,0.0063,0.0048,7,7,0.051,0.007,112.29,86.0,0.0,0.0,0,0.0,0.08,0.0,0.0,0.38,0.61,0.0,1.77,0.625,5.53,5.53,0.0,1,0,0,5,5,0,0.0,0.0
